state,year,total_injuries,total_annual_average_employees,avg_injuries_per_employee
SC,2016,6700.0,224772.0,0.02980798320075454
SC,2017,14672.0,475625.0,0.030847831800262814
SC,2018,16203.0,527169.0,0.030735874074537768
SC,2019,17771.0,598791.0,0.029678134774904767
SC,2020,14867.0,548680.0,0.027095939345337904
SC,2021,16723.0,562270.0,0.02974193892613869
SC,2022,18035.0,627027.0,0.028762716757013654
SC,2023,18430.0,661793.0,0.027848587095965053
SD,2016,4627.0,100789.0,0.045907787556181724
SD,2017,4334.0,86188.0,0.05028542256462617
SD,2018,4905.0,98665.0,0.04971367759590534
SD,2019,4876.0,103156.0,0.04726821513048199
SD,2020,4093.0,92025.0,0.044477044281445256
SD,2021,4217.0,98672.0,0.04273755472677153
SD,2022,4384.0,107708.0,0.04070264047238831
SD,2023,4779.0,117647.0,0.040621520310760155
TN,2016,26219.0,835627.0,0.03137643948795336
TN,2017,24109.0,743026.0,0.03244704761340787
TN,2018,28061.0,818689.0,0.03427553075710068
TN,2019,27765.0,851093.0,0.032622756855008796
TN,2020,23265.0,1105019.0,0.021053936629143934
TN,2021,24184.0,799360.0,0.030254203362690153
TN,2022,28498.0,923234.0,0.030867580700017546
TN,2023,28305.0,1300413.0,0.021766161980847624
TX,2016,68267.0,2406536.0,0.028367329638949928
TX,2017,65672.0,2346065.0,0.027992404302523588
TX,2018,77680.0,2724105.0,0.028515787754143103
TX,2019,77520.0,2799272.0,0.027692914443469586
TX,2020,62953.0,2475553.0,0.0254298736484333
TX,2021,75893.0,2712731.0,0.027976603651449408
TX,2022,81545.0,3083671.0,0.02644413103732532
TX,2023,84324.0,3269267.0,0.025792937682972972
UT,2016,3563.0,91229.0,0.039055563472141536
UT,2017,5735.0,205035.0,0.027970834247811348
UT,2018,10105.0,309422.0,0.03265766493655913
UT,2019,10685.0,322904.0,0.033090330252954436
UT,2020,9148.0,305391.0,0.029955041242210805
UT,2021,10836.0,330371.0,0.03279948905926973
UT,2022,11030.0,368346.0,0.02994467158595451
UT,2023,12768.0,436480.0,0.029252199413489735
VA,2016,28504.0,883478.0,0.03226339535336477
VA,2017,27707.0,842480.0,0.032887427594720346
VA,2018,31041.0,942010.0,0.03295187949172514
VA,2019,30989.0,956172.0,0.03240944097923804
VA,2020,24430.0,846671.0,0.028854183029771895
VA,2021,25315.0,868002.0,0.02916467934405681
VA,2022,27919.0,951330.0,0.02934733478393407
VA,2023,30124.0,1064025.0,0.028311364864547356
VT,2016,2309.0,50260.0,0.045941106247512936
VT,2017,2571.0,51735.0,0.04969556393157437
VT,2018,2941.0,66807.0,0.044022332989058034
VT,2019,2855.0,60263.0,0.04737566997992135
VT,2020,2186.0,63810.0,0.034257953298855975
VT,2021,2354.0,59432.0,0.03960829182931754
VT,2022,2096.0,60683.0,0.03454015127795264
VT,2023,2590.0,62377.0,0.04152171473459769
WA,2016,10288.0,255650.0,0.0402425190690397
WA,2017,19259.0,464086.0,0.04149877393414152
WA,2018,23597.0,578749.0,0.04077242466077695
WA,2019,35556.0,814978.0,0.043628171558005246
WA,2020,29318.0,812061.0,0.036103199143906674
WA,2021,30571.0,772113.0,0.039593945445809096
WA,2022,31096.0,777276.0,0.04000638125968124
WA,2023,37723.0,977148.0,0.038605206171429506
WI,2016,30736.0,803004.0,0.03827627259640052
WI,2017,30284.0,775603.0,0.03904574892051733
WI,2018,33660.0,847002.0,0.03974016590279598
WI,2019,33392.0,871126.0,0.03833199789697472
WI,2020,26750.0,809469.0,0.03304635507968804
WI,2021,31349.0,858145.0,0.03653112236277086
WI,2022,32072.0,938082.0,0.03418890885871385
WI,2023,31069.0,982575.0,0.031619978118718674
WV,2016,4580.0,135086.0,0.033904327613520274
WV,2017,4866.0,138135.0,0.03522640894776849
WV,2018,4980.0,148904.0,0.03344436684038038
WV,2019,4927.0,144068.0,0.034199128189466084
WV,2020,3599.0,121806.0,0.02954698454920119
WV,2021,4306.0,137830.0,0.031241384314010013
WV,2022,4098.0,139153.0,0.029449598643220054
WV,2023,4826.0,167719.0,0.028774318950148762
WY,2016,608.0,17816.0,0.03412662775033678
WY,2017,1044.0,22853.0,0.04568328009451713
WY,2018,1318.0,37026.0,0.03559660778912116
WY,2019,1515.0,42278.0,0.03583424003027579
WY,2020,1219.0,34054.0,0.035796088565219944
WY,2021,1047.0,27602.0,0.03793203391058619
WY,2022,1456.0,38244.0,0.03807133145068507
WY,2023,1521.0,44803.0,0.03394861951208624
